Earthquake catalog extracted from SEISAN HYP output file.
CSV text with 5 header lines, including col names in last.
longitude, latitude (WGS 84); depth in km.
mmagnitude = local magnitude determined by SEISAN HYP.
n = number of stations used; rms = fit to arrival times
No,origin,longitude,latitude,depth,magnitude,N_phases,rms
1,2018-10-17 04:35:46.200,170.168,-21.974,-4.6,3.1,7,0.6
2,2018-10-17 13:50:17.800,170.041,-21.84,68.5,2.6,5,0.4
3,2018-10-17 17:22:20.300,169.741,-21.614,71.6,2.9,7,0.6
4,2018-10-18 06:05:05.100,168.466,-21.162,16.5,2.3,8,0.7
5,2018-10-18 14:50:13.500,169.937,-21.686,71.6,3.7,7,0.9
6,2018-10-18 15:01:16.800,168.331,-21.092,5.9,2.8,7,1.0
7,2018-10-18 16:22:14.100,169.915,-21.726,70.8,3.5,7,0.6
8,2018-10-18 19:16:06.800,169.461,-21.267,45.7,2.3,6,0.4
9,2018-10-19 09:00:13.400,169.839,-21.937,47.7,3.0,8,0.5
10,2018-10-19 15:17:56.400,170.01,-21.683,33.1,3.0,7,0.9
11,2018-10-20 12:35:15.400,170.26,-21.337,31.5,3.2,8,0.6
12,2018-10-20 15:39:45.800,169.346,-20.144,42.5,3.5,8,0.7
13,2018-10-20 16:51:52.300,170.289,-21.168,42.9,2.5,6,0.5
14,2018-10-20 22:00:21.100,168.062,-21.057,9.3,2.8,8,0.5
15,2018-10-21 10:57:41.200,168.679,-21.408,24.0,2.4,8,0.5
16,2018-10-21 11:47:52.100,168.284,-20.94,11.6,2.0,8,0.6
17,2018-10-21 16:02:04.300,169.784,-21.493,70.1,3.2,8,0.5
18,2018-10-22 06:31:38.000,168.407,-21.305,16.0,2.7,10,0.4
19,2018-10-22 10:38:08.100,169.789,-21.612,71.6,2.3,7,0.5
20,2018-10-22 16:29:54.700,170.031,-21.049,67.7,3.2,10,0.7
21,2018-10-22 21:55:53.400,169.823,-21.848,49.6,2.9,9,0.6
22,2018-10-23 00:10:24.900,169.715,-20.388,73.2,2.7,9,0.6
23,2018-10-23 07:45:14.900,168.744,-21.265,23.5,2.4,12,0.9
24,2018-10-23 08:20:10.800,169.548,-21.947,-4.2,3.4,12,0.5
25,2018-10-24 02:37:47.800,169.97,-21.882,28.4,2.5,7,4.7
26,2018-10-26 09:10:43.400,168.401,-20.741,5.1,2.2,5,0.6
27,2018-10-26 16:49:47.300,168.527,-21.282,9.7,1.7,13,0.7
28,2018-10-26 17:02:07.900,169.62,-21.618,-4.6,1.8,9,1.8
29,2018-10-27 00:51:21.100,168.107,-20.339,-4.6,1.9,7,5.9
30,2018-10-27 08:36:54.500,168.654,-21.1,13.0,1.8,14,2.0
31,2018-10-27 08:53:25.600,169.748,-21.791,34.3,2.0,8,0.6
32,2018-10-27 11:33:58.400,168.522,-20.768,1.8,1.7,13,4.1
33,2018-10-27 14:50:42.400,168.904,-21.533,30.6,1.5,13,0.7
34,2018-10-27 17:06:32.100,168.472,-21.085,9.7,1.5,12,0.8
35,2018-10-28 07:27:02.000,168.0,-20.777,-4.6,1.5,5,1.0
36,2018-10-28 17:12:58.300,168.394,-21.275,12.2,1.3,8,0.5
37,2018-10-28 19:42:48.200,168.721,-21.316,9.7,1.8,6,1.2
38,2018-10-28 20:41:44.800,169.767,-21.078,48.4,4.0,14,1.4
39,2018-10-29 14:12:00.400,169.249,-21.72,7.4,2.2,12,0.8
40,2018-10-29 15:55:50.900,169.074,-21.74,-0.2,2.2,6,1.0
41,2018-10-29 17:28:19.200,169.215,-21.79,31.0,1.9,12,0.7
42,2018-10-29 18:40:13.300,170.351,-21.749,61.7,2.9,7,0.6
43,2018-10-29 19:03:57.100,169.993,-21.862,30.2,2.3,6,1.2
44,2018-10-30 04:44:28.300,169.944,-21.844,48.0,3.0,13,0.7
45,2018-10-30 21:21:27.500,169.967,-21.823,30.8,3.4,17,0.5
46,2018-11-01 08:21:43.500,169.811,-21.552,71.6,2.4,12,0.8
47,2018-11-01 14:57:52.100,169.857,-20.917,69.1,2.7,7,8.9
48,2018-11-01 20:33:12.800,168.433,-21.354,16.3,2.1,10,0.6
49,2018-11-02 07:26:51.900,169.025,-21.895,6.2,1.9,10,0.6
50,2018-11-02 08:06:57.700,168.334,-21.46,-3.8,1.6,5,0.7
51,2018-11-03 13:32:50.500,169.855,-21.451,25.2,2.0,11,1.0
52,2018-11-03 15:38:30.600,169.413,-20.636,-3.8,2.2,15,0.6
53,2018-11-03 18:08:37.900,169.765,-21.613,23.6,2.2,7,9.2
54,2018-11-05 04:12:10.400,169.202,-21.761,29.0,2.4,8,1.6
55,2018-11-05 19:40:50.100,168.515,-21.099,-3.0,2.1,11,0.3
56,2018-11-06 06:59:34.700,168.615,-21.195,-2.1,2.0,11,0.7
57,2018-11-07 13:58:05.200,169.048,-21.182,83.2,1.9,12,1.1
58,2018-11-07 15:30:20.800,170.148,-21.252,53.8,2.2,12,0.7
59,2018-11-09 07:12:36.200,168.515,-20.83,6.9,1.6,11,0.4
60,2018-11-09 07:34:11.800,168.74,-21.533,12.2,1.7,4,0.7
61,2018-11-09 09:54:19.100,169.766,-20.465,17.0,2.3,10,1.0
62,2018-11-09 10:16:59.000,169.583,-21.59,-4.2,2.4,5,1.9
63,2018-11-09 12:24:18.800,169.511,-20.692,11.1,2.7,10,0.7
64,2018-11-10 08:47:04.400,168.382,-21.266,19.2,2.2,8,0.7
65,2018-11-12 09:08:16.700,168.254,-20.637,-4.8,3.0,17,2.7
66,2018-11-12 14:05:47.800,168.078,-20.354,-4.8,1.8,10,3.1
67,2018-11-12 18:18:04.700,168.433,-21.363,15.1,1.7,12,0.7
68,2018-11-13 06:02:20.200,168.323,-20.353,74.1,2.4,8,0.9
69,2018-11-13 09:44:50.100,168.42,-21.334,15.5,1.6,8,0.5
70,2018-11-13 10:23:59.700,168.409,-21.354,13.8,1.8,12,2.1
71,2018-11-13 12:08:11.100,168.742,-21.389,7.8,1.6,7,0.5
72,2018-11-13 23:23:17.600,168.436,-20.797,5.5,2.8,17,0.7
73,2018-11-14 04:09:08.200,169.954,-21.794,6.6,2.7,6,0.8
74,2018-11-14 14:50:30.600,169.778,-21.355,38.5,2.3,17,1.2
75,2018-11-15 09:22:10.000,170.031,-21.89,73.7,2.3,13,1.3
76,2018-11-15 10:09:04.200,170.01,-21.683,26.0,2.2,14,0.8
77,2018-11-15 15:40:22.400,169.25,-20.78,30.2,1.9,10,0.7
78,2018-11-16 01:43:09.700,168.712,-21.232,9.5,2.3,16,1.5
79,2018-11-16 11:49:12.100,170.519,-22.217,33.5,2.6,6,0.8
80,2018-11-16 14:25:12.400,169.75,-20.664,-3.8,3.1,18,1.5
81,2018-11-17 18:02:29.800,169.013,-21.559,63.3,1.7,8,3.4
82,2018-11-18 03:48:57.900,170.464,-22.081,22.7,2.9,13,0.8
83,2018-11-18 05:17:16.500,169.394,-21.715,77.0,3.3,17,1.6
84,2018-11-18 06:55:33.800,168.737,-21.444,11.8,1.9,10,0.6
85,2018-11-18 07:54:06.700,169.195,-21.909,-3.8,2.0,11,0.7
86,2018-11-18 15:11:04.000,168.631,-21.14,9.7,2.0,17,1.9
87,2018-11-19 00:30:35.400,168.886,-21.548,42.0,2.2,4,0.4
88,2018-11-19 00:34:41.500,168.874,-21.539,30.8,2.1,5,0.7
89,2018-11-19 03:54:44.700,169.255,-21.388,51.9,2.7,19,1.1
90,2018-11-19 12:45:55.600,168.87,-21.44,22.7,1.9,12,0.5
91,2018-11-19 14:20:59.400,169.949,-21.962,32.7,2.4,13,5.3
92,2018-11-20 08:00:27.300,168.665,-21.273,11.1,1.7,8,0.6
93,2018-11-20 12:09:39.600,168.632,-21.19,8.5,1.8,18,2.6
94,2018-11-20 14:29:10.900,168.767,-21.591,-4.8,1.9,4,0.6
95,2018-11-20 15:14:42.400,168.754,-21.582,27.1,1.6,5,0.7
96,2018-11-20 21:14:23.500,169.182,-21.534,41.8,2.1,8,0.9
97,2018-11-21 17:20:18.800,170.065,-21.839,38.5,2.6,19,0.8
98,2018-11-21 20:20:19.900,168.198,-20.564,14.1,2.0,5,0.5
99,2018-11-22 07:35:14.100,170.074,-21.77,81.9,2.3,4,0.5
100,2018-11-22 22:31:54.900,169.873,-21.886,-2.9,2.3,4,1.0
101,2018-11-23 05:12:13.700,168.631,-20.957,19.8,1.8,12,0.6
102,2018-11-23 06:08:39.300,168.885,-21.345,28.5,2.3,10,0.8
103,2018-11-23 09:52:16.400,169.281,-20.957,-2.9,2.2,16,2.1
104,2018-11-23 16:09:45.400,168.481,-20.966,5.1,2.2,17,1.5
105,2018-11-23 18:12:02.500,168.523,-21.067,10.4,1.7,10,0.6
106,2018-11-23 20:55:08.400,169.729,-21.624,-0.9,2.6,12,4.2
107,2018-11-24 02:16:16.400,168.333,-20.669,2.9,2.4,5,0.9
108,2018-11-25 01:43:59.900,168.381,-20.648,-1.3,2.3,11,4.5
109,2018-11-25 23:43:24.500,168.863,-21.578,13.3,2.1,10,0.3
110,2018-11-26 03:08:38.800,168.444,-21.333,12.6,1.8,9,0.5
111,2018-11-26 13:46:28.300,168.397,-21.364,12.2,1.8,12,0.9
112,2018-11-26 14:49:44.800,169.575,-21.105,39.3,2.4,14,3.4
113,2018-11-26 16:13:18.300,169.146,-21.565,52.1,2.2,15,1.1
114,2018-11-26 22:17:03.800,168.82,-21.565,19.8,2.1,11,0.4
115,2018-11-27 09:00:40.000,170.07,-21.958,46.5,3.7,18,0.6
116,2018-11-27 12:32:49.100,169.744,-20.525,80.3,2.8,18,0.6
117,2018-11-27 12:36:46.200,170.077,-21.849,20.7,2.8,15,1.3
118,2018-11-29 07:00:52.900,168.808,-21.209,50.1,2.8,9,0.8
119,2018-11-29 12:09:44.600,168.235,-20.593,2.9,2.0,13,0.6
120,2018-11-29 15:29:09.200,169.084,-21.497,90.7,1.8,7,0.7
121,2018-11-30 02:56:34.200,169.047,-21.489,78.6,2.8,12,1.0
122,2018-11-30 14:16:48.800,168.439,-20.597,72.8,2.0,12,0.5
123,2018-11-30 18:36:37.300,169.115,-22.04,68.1,2.2,9,0.5
124,2018-12-01 16:19:05.700,168.512,-21.203,8.5,1.8,8,1.0
125,2018-12-02 18:12:45.500,169.412,-21.863,2.0,2.8,10,0.9
126,2018-12-02 18:47:20.500,169.592,-21.827,78.6,2.6,7,1.1
127,2018-12-02 19:28:31.500,169.686,-21.744,75.3,3.3,14,1.2
128,2018-12-02 20:00:57.000,169.534,-21.898,74.8,2.9,15,0.6
129,2018-12-03 06:18:21.000,170.312,-21.681,93.2,2.5,14,0.4
130,2018-12-03 07:25:30.200,169.65,-21.775,97.3,3.5,8,1.6
131,2018-12-03 11:54:20.600,170.175,-22.419,62.6,2.9,16,0.6
132,2018-12-03 11:56:07.600,170.174,-21.845,95.2,2.5,11,0.6
133,2018-12-03 13:32:36.700,169.609,-21.955,30.8,2.3,13,0.6
134,2018-12-03 13:41:54.400,169.601,-21.757,78.2,2.1,15,1.1
135,2018-12-03 14:51:04.900,170.093,-22.204,27.3,2.6,16,7.1
136,2018-12-05 02:34:15.700,169.631,-20.688,70.1,3.3,17,0.8
137,2018-12-05 04:14:33.000,169.723,-21.773,83.4,5.0,17,0.6
138,2018-12-05 04:18:09.200,169.427,-21.95,10.0,6.3,17,3.8
139,2018-12-05 04:30:25.800,169.03,-22.013,-3.8,4.7,13,0.8
140,2018-12-05 05:04:46.200,169.31,-21.747,71.6,3.7,7,0.7
141,2018-12-05 05:30:48.400,169.349,-21.795,95.2,3.4,6,0.3
142,2018-12-05 05:32:42.100,169.235,-21.671,71.6,3.4,14,5.3
143,2018-12-05 05:38:25.300,168.881,-21.227,84.8,3.4,10,1.0
144,2018-12-05 05:53:06.500,169.887,-22.222,77.1,4.1,14,0.5
145,2018-12-05 06:20:55.600,169.595,-21.906,75.3,3.2,9,0.8
146,2018-12-05 06:21:59.200,169.146,-21.565,20.7,3.5,10,0.6
147,2018-12-05 06:32:54.000,168.77,-21.853,-4.2,3.0,14,3.0
148,2018-12-05 06:36:25.300,168.865,-21.811,-2.5,3.5,16,0.8
149,2018-12-05 06:51:44.800,169.146,-21.218,79.9,4.0,15,2.4
150,2018-12-05 07:02:59.200,169.253,-21.512,89.0,3.1,17,0.9
151,2018-12-05 07:46:40.200,168.913,-21.463,26.0,4.6,13,0.6
152,2018-12-05 07:56:46.800,168.369,-20.273,4.5,3.0,9,6.2
153,2018-12-05 08:09:29.400,169.447,-21.832,53.8,4.0,15,0.6
154,2018-12-05 08:32:37.900,168.853,-21.821,-2.1,4.4,16,0.7
155,2018-12-05 08:34:12.800,168.938,-21.482,28.5,4.0,12,0.6
156,2018-12-05 08:57:51.300,169.119,-21.467,71.2,3.4,11,0.7
157,2018-12-05 09:12:37.600,168.961,-21.462,50.9,3.7,17,0.7
158,2018-12-05 09:33:29.000,169.309,-22.034,96.9,3.0,16,1.4
159,2018-12-05 09:44:45.600,169.177,-21.742,9.9,3.2,7,0.5
160,2018-12-05 10:42:14.700,169.614,-22.073,17.0,3.7,6,7.0
161,2018-12-05 11:03:45.200,169.508,-21.839,73.3,3.5,16,0.7
162,2018-12-05 11:12:00.300,169.967,-21.536,93.6,3.8,12,1.3
163,2018-12-05 11:39:06.100,169.344,-21.984,0.1,3.7,17,0.4
164,2018-12-05 12:33:13.500,169.757,-22.296,-4.2,2.8,13,0.9
165,2018-12-05 12:42:33.400,169.249,-21.72,86.9,3.0,15,0.6
166,2018-12-05 13:12:38.700,168.876,-21.435,33.1,2.6,16,0.7
167,2018-12-05 13:16:46.300,169.011,-21.5,81.5,3.1,12,2.3
168,2018-12-05 13:32:55.900,169.215,-21.79,74.1,2.6,10,0.5
169,2018-12-05 13:54:36.700,168.881,-21.227,84.8,3.4,16,2.5
170,2018-12-05 13:58:50.800,168.937,-21.462,45.1,3.0,17,0.7
171,2018-12-05 14:11:21.700,169.209,-21.612,82.4,3.8,16,0.9
172,2018-12-05 14:48:29.300,169.452,-21.663,71.6,2.4,12,0.8
173,2018-12-05 14:55:01.500,169.153,-21.416,89.0,2.5,11,1.6
174,2018-12-05 15:04:34.600,169.36,-21.785,78.2,3.6,16,3.8
175,2018-12-05 15:11:40.600,169.63,-21.875,28.5,2.5,9,1.0
176,2018-12-05 15:40:00.600,170.227,-22.209,51.2,4.8,15,0.6
177,2018-12-05 17:27:27.300,169.287,-21.441,78.6,3.7,15,1.1
178,2018-12-05 17:43:38.500,169.287,-21.441,40.5,2.8,10,0.7
179,2018-12-05 17:59:09.700,168.672,-21.47,-3.8,2.2,9,1.3
180,2018-12-05 18:29:03.100,169.059,-21.498,44.3,2.9,14,3.7
181,2018-12-05 18:54:16.600,168.984,-21.421,50.1,3.1,15,4.7
182,2018-12-05 18:57:46.400,168.897,-21.681,12.0,2.3,12,0.7
183,2018-12-05 19:29:05.400,169.098,-20.567,92.3,3.1,12,1.2
184,2018-12-05 20:09:07.100,169.378,-21.606,98.1,2.4,12,1.7
185,2018-12-05 21:10:01.100,168.937,-21.443,48.4,2.8,15,0.8
186,2018-12-05 21:16:16.900,169.052,-21.301,92.3,2.8,13,0.7
187,2018-12-05 21:31:15.100,169.044,-21.41,42.2,2.6,6,1.0
188,2018-12-05 21:32:13.400,169.887,-21.935,-2.5,4.2,13,7.0
189,2018-12-05 21:51:53.700,169.535,-21.918,55.0,2.5,11,4.2
190,2018-12-05 23:01:25.200,168.985,-21.441,15.3,2.4,11,2.5
191,2018-12-05 23:11:11.500,168.937,-21.443,30.2,2.2,11,0.7
192,2018-12-05 23:45:34.600,169.349,-22.122,-3.0,3.8,17,0.3
193,2018-12-05 23:56:20.400,169.495,-21.523,51.2,4.1,17,0.7
194,2018-12-06 00:23:12.300,168.933,-21.517,35.3,3.0,16,0.5
195,2018-12-06 00:27:25.800,168.953,-21.224,55.9,3.3,8,1.7
196,2018-12-06 00:38:19.300,168.709,-21.133,70.8,2.1,4,0.4
197,2018-12-06 01:30:32.800,169.008,-21.401,55.9,2.2,7,1.6
198,2018-12-06 01:59:05.700,169.328,-21.569,41.0,3.0,11,4.1
199,2018-12-06 02:30:36.500,168.894,-21.602,19.0,3.1,15,0.5
200,2018-12-06 02:38:18.500,169.563,-22.303,96.9,2.8,13,0.9
201,2018-12-06 02:53:56.000,169.256,-21.591,45.9,2.7,15,0.8
202,2018-12-06 03:00:49.200,169.13,-21.456,50.9,2.2,9,0.7
203,2018-12-06 03:52:43.300,168.901,-21.107,64.2,2.4,13,1.2
204,2018-12-06 03:55:45.800,169.193,-21.667,72.2,3.3,15,0.4
205,2018-12-06 03:58:18.500,169.085,-21.537,21.1,2.6,13,0.9
206,2018-12-06 04:02:25.400,169.141,-21.753,14.5,3.9,17,7.2
207,2018-12-06 04:30:29.700,169.392,-21.675,38.9,2.2,6,0.5
208,2018-12-06 05:03:05.100,169.921,-21.577,48.8,3.4,11,0.6
209,2018-12-06 05:46:29.300,169.581,-21.857,74.0,3.3,15,0.5
210,2018-12-06 05:46:30.500,169.4,-21.566,34.7,3.2,15,0.6
211,2018-12-06 06:07:29.000,168.922,-21.7,-3.0,4.6,16,0.4
212,2018-12-06 06:18:31.600,168.807,-21.536,-4.2,4.3,6,0.7
213,2018-12-06 06:27:28.400,169.239,-21.443,75.3,2.6,12,2.7
214,2018-12-06 07:32:30.000,168.86,-21.326,69.9,2.3,15,0.8
215,2018-12-06 07:38:35.700,170.159,-22.597,60.4,2.5,9,1.7
216,2018-12-06 07:45:53.400,168.911,-21.404,73.3,2.3,8,0.9
217,2018-12-06 08:03:12.800,168.853,-21.455,47.2,2.3,8,0.6
218,2018-12-06 08:11:46.900,169.323,-21.43,90.7,3.8,8,0.5
219,2018-12-06 09:08:15.300,169.431,-21.723,49.2,2.3,13,4.1
220,2018-12-06 09:17:34.900,169.107,-21.477,42.6,2.9,14,0.6
221,2018-12-06 09:52:25.500,169.187,-21.692,58.3,2.6,17,0.6
222,2018-12-06 10:17:31.800,169.608,-21.935,52.5,2.8,15,3.9
223,2018-12-06 10:39:18.100,169.904,-22.33,72.0,2.6,10,3.8
224,2018-12-06 11:18:17.200,169.13,-21.437,72.4,2.8,11,0.5
225,2018-12-06 11:29:46.800,169.338,-21.825,78.2,2.8,17,1.9
226,2018-12-06 11:53:29.800,169.391,-21.962,67.5,2.5,16,0.6
