# M N N_cumul a b R
1.300 3.000 3.047 3.047 0.342 70.408
1.400 1.000 3.046 3.046 0.370 72.683
1.500 11.000 3.046 3.046 0.404 75.612
1.600 18.000 3.041 3.041 0.441 78.669
1.700 36.000 3.034 3.034 0.482 81.993
1.800 54.000 3.020 3.020 0.523 85.091
1.900 65.000 2.997 2.997 0.562 87.782
2.000 82.000 2.967 2.967 0.600 90.332
2.100 86.000 2.927 2.927 0.631 92.006
2.200 101.000 2.880 2.880 0.657 93.067
2.300 73.000 2.818 2.818 0.663 92.440
2.400 53.000 2.767 2.767 0.689 93.329
2.500 72.000 2.726 2.726 0.738 96.168
2.600 71.000 2.663 2.663 0.759 96.892
2.700 64.000 2.590 2.590 0.765 96.567
2.800 50.000 2.512 2.512 0.762 95.809
2.900 42.000 2.439 2.439 0.770 95.496
3.000 39.000 2.367 2.367 0.780 95.208
3.100 23.000 2.288 2.288 0.777 94.167
3.200 25.000 2.233 2.233 0.824 95.960
3.300 19.000 2.164 2.164 0.853 96.329
3.400 29.000 2.104 2.104 0.909 95.266
3.500 19.000 1.991 1.991 0.862 96.183
3.600 11.000 1.898 1.898 0.846 95.653
3.700 16.000 1.833 1.833 0.890 94.312
3.800 9.000 1.716 1.716 0.830 94.974
3.900 7.000 1.633 1.633 0.832 93.889
4.000 6.000 1.556 1.556 0.845 92.984
4.100 7.000 1.477 1.477 0.857 91.640
4.200 2.000 1.362 1.362 0.796 88.718
4.300 3.000 1.322 1.322 0.881 90.440
4.400 1.000 1.255 1.255 0.931 89.771
4.500 3.000 1.230 1.230 1.110 91.190
4.600 5.000 1.146 1.146 1.192 87.854
4.700 2.000 0.954 0.954 0.990 92.019
4.800 1.000 0.845 0.845 0.965 89.221
4.900 2.000 0.778 0.778 1.042 83.925
5.000 2.000 0.602 0.602 0.869 82.409
5.500 1.000 0.301 0.301 0.965 77.934
6.300 1.000 0.000 0.000 8.686 100.000
