# M N N_cumul a b R
0.000 1.000 2.185 2.185 0.299 65.031
0.300 1.000 2.182 2.182 0.374 71.845
0.400 1.000 2.179 2.179 0.406 73.358
0.500 1.000 2.176 2.176 0.445 75.276
0.600 5.000 2.173 2.173 0.493 77.644
0.700 6.000 2.158 2.158 0.536 79.253
0.800 10.000 2.140 2.140 0.584 81.035
0.900 8.000 2.107 2.107 0.623 81.556
1.000 10.000 2.079 2.079 0.678 83.191
1.100 8.000 2.041 2.041 0.730 84.413
1.200 4.000 2.009 2.009 0.808 87.179
1.300 14.000 1.991 1.991 0.950 93.575
1.400 17.000 1.924 1.924 1.022 95.592
1.500 14.000 1.826 1.826 1.034 94.842
1.600 9.000 1.724 1.724 1.039 93.535
1.700 8.000 1.643 1.643 1.105 93.637
1.800 9.000 1.556 1.556 1.176 92.310
1.900 8.000 1.431 1.431 1.155 90.429
2.000 5.000 1.279 1.279 1.051 89.509
2.100 1.000 1.146 1.146 0.981 85.793
2.200 3.000 1.114 1.114 1.164 89.754
2.300 1.000 1.000 1.000 1.174 85.793
2.400 3.000 0.954 0.954 1.421 83.316
2.500 3.000 0.778 0.778 1.303 76.976
2.600 1.000 0.477 0.477 0.841 87.616
2.800 1.000 0.301 0.301 0.790 77.488
3.800 1.000 0.000 0.000 8.686 100.000
